,appid,average_playtime,median_playtime,standard_deviation
4225,333990,0.0,0.0,0.0
4226,334030,14.0,14.0,1.88
4227,334040,206.0,253.0,0.0
4228,334070,64.0,64.0,0.0
4229,334100,0.0,0.0,0.0
4230,334120,4.7,4.7,0.0
4231,334140,0.0,0.0,0.0
4232,334190,0.0,0.0,0.0
4233,334210,257.0,302.0,0.0
4234,334230,2101.0,927.0,13.78
4235,334260,0.0,0.0,0.0
4236,334270,75.0,75.0,0.0
4237,334280,0.0,0.0,0.0
4238,334300,301.0,312.0,0.0
4239,334410,0.0,0.0,0.0
4240,334420,154.0,154.0,0.0
4241,334470,0.0,0.0,0.0
4242,334480,0.0,0.0,0.0
4243,334490,0.0,0.0,0.0
4244,334540,0.0,0.0,0.0
4245,334560,0.0,0.0,0.0
4246,334620,0.0,0.0,0.0
4247,334690,135.0,135.0,0.0
4248,334710,0.0,0.0,0.0
4249,334830,0.0,0.0,0.0
4250,334840,0.0,0.0,0.0
4251,334850,0.0,0.0,0.0
4252,334920,453.0,502.0,0.0
4253,334940,0.0,0.0,0.0
4254,334960,0.0,0.0,0.0
4255,334980,0.0,0.0,0.0
4256,335000,255.0,255.0,0.0
4257,335010,0.0,0.0,0.0
4258,335050,0.0,0.0,0.0
4259,335070,0.0,0.0,0.0
4260,335090,0.0,0.0,0.0
4261,335100,0.0,0.0,0.0
4262,335120,0.0,0.0,0.0
4263,335150,9.0,13.0,12.04
4264,335190,348.0,348.0,0.0
4265,335200,455.0,455.0,0.0
4266,335210,0.0,0.0,0.0
4267,335220,237.0,237.0,0.0
4268,335240,320.0,21.0,136.35
4269,335300,3189.0,2442.0,0.0
4270,335310,0.0,0.0,0.0
4271,335320,42.0,42.0,0.0
4272,335330,41.0,30.0,2.57
4273,335420,0.0,0.0,0.0
4274,335430,192.0,167.0,0.0
4275,335440,0.0,0.0,0.0
4276,335450,0.0,0.0,0.0
4277,335460,276.0,276.0,0.0
4278,335550,368.0,368.0,0.0
4279,335560,0.0,0.0,0.0
4280,335570,0.0,0.0,0.0
4281,335620,761.0,761.0,0.0
4282,335660,3.0,3.0,0.0
4283,335670,882.0,1298.0,11.16
4284,335690,75.0,75.0,0.0
4285,335700,0.0,0.0,0.0
4286,335770,2.4,2.4,0.0
4287,335790,16.0,16.0,0.0
4288,335820,5237.0,10470.0,1.21
4289,335830,0.0,0.0,0.0
4290,335840,0.0,0.0,0.0
4291,335850,0.0,0.0,0.0
4292,335890,0.0,0.0,0.0
4293,335900,308.0,323.0,0.0
4294,335920,0.0,0.0,0.0
4295,336010,0.0,0.0,0.0
4296,336020,0.0,0.0,0.0
4297,336030,0.0,0.0,0.0
4298,336040,0.0,0.0,0.0
4299,336060,0.0,0.0,0.0
4300,336080,0.0,0.0,0.0
4301,336090,229.0,234.0,0.0
4302,336110,0.0,0.0,0.0
4303,336130,67.0,67.0,0.0
4304,336140,0.0,0.0,0.0
4305,336150,0.0,0.0,0.0
4306,336160,0.0,0.0,0.0
4307,336200,146.0,146.0,2.3
4308,336210,0.0,0.0,0.0
4309,336220,0.0,0.0,0.0
4310,336230,0.0,0.0,0.0
4311,336240,0.0,0.0,0.0
4312,336280,202.0,228.0,0.0
4313,336300,0.0,0.0,0.0
4314,336380,565.0,565.0,0.0
4315,336420,104.0,104.0,0.0
4316,336440,0.0,0.0,0.0
4317,336520,228.0,294.0,0.77
4318,336530,0.0,0.0,0.0
4319,336610,24.7,24.7,24.3
4320,336630,0.0,0.0,0.0
4321,336670,5.0,5.0,0.12
4322,336680,0.0,0.0,0.0
4323,336700,0.0,0.0,0.0
4324,336710,0.0,0.0,0.0
4325,336730,0.0,0.0,0.0
4326,336760,0.0,0.0,0.0
4327,336770,0.0,0.0,0.0
4328,336780,0.0,0.0,0.0
4329,336840,0.0,0.0,0.0
4330,336930,0.0,0.0,0.0
4331,336940,0.0,0.0,0.0
4332,337000,798.0,977.0,0.0
4333,337040,489.0,489.0,0.0
4334,337070,0.0,0.0,0.0
4335,337130,0.0,0.0,0.0
4336,337150,186.0,186.0,0.0
4337,337180,346.0,346.0,0.0
4338,337210,0.0,0.0,0.0
4339,337220,1.1,1.1,0.0
4340,337270,286.0,286.0,0.0
4341,337280,0.0,0.0,0.0
4342,337290,157.0,157.0,0.0
4343,337320,554.0,350.0,0.6
4344,337340,166.0,166.0,0.0
4345,337350,0.0,0.0,0.0
4346,337360,339.0,339.0,0.0
4347,337410,1.0,1.0,0.0
4348,337420,386.0,515.0,1.0
4349,337450,0.0,0.0,0.0
4350,337480,0.0,0.0,0.0
4351,337490,0.0,0.0,0.0
4352,337630,283.0,293.0,0.9
4353,337650,0.0,0.0,0.0
4354,337670,0.0,0.0,0.0
4355,337680,0.0,0.0,0.0
4356,337700,0.0,0.0,0.0
4357,337720,0.0,0.0,0.0
4358,337730,0.0,0.0,0.0
4359,337760,0.0,0.0,0.0
4360,337820,0.0,0.0,0.0
4361,337850,0.0,0.0,0.0
4362,337880,0.0,0.0,0.0
4363,337890,0.0,0.0,0.0
4364,337930,0.0,0.0,0.0
4365,337940,1084.0,1084.0,0.0
4366,337950,51.0,47.0,0.0
4367,337960,0.0,0.0,0.0
4368,337970,0.0,0.0,0.0
4369,337980,0.0,0.0,0.0
4370,338030,0.0,0.0,0.0
4371,338040,0.0,0.0,0.0
4372,338050,274.0,285.0,2.3
4373,338060,294.0,294.0,0.0
4374,338070,0.0,0.0,0.0
4375,338080,0.0,0.0,0.0
4376,338090,0.0,0.0,0.0
4377,338100,0.0,0.0,0.0
4378,338110,0.0,0.0,0.0
4379,338120,200.0,200.0,0.0
4380,338130,0.0,0.0,0.0
4381,338140,39.0,39.0,0.0
4382,338170,85.0,85.0,0.0
4383,338180,135.0,231.0,6.02
4384,338190,1.6,1.6,0.0
4385,338260,0.0,0.0,0.0
4386,338290,0.0,0.0,0.0
4387,338300,0.0,0.0,0.0
4388,338310,0.0,0.0,0.0
4389,338320,1027.0,1027.0,0.0
4390,338330,0.0,0.0,0.0
4391,338350,0.0,0.0,0.0
4392,338390,67.0,67.0,0.0
4393,338530,268.0,234.0,0.0
4394,338540,39.0,43.0,0.0
4395,338550,0.0,0.0,0.0
4396,338590,0.0,0.0,0.0
4397,338630,0.0,0.0,0.0
4398,338760,0.0,0.0,0.0
4399,338800,0.4,0.4,0.0
4400,338810,0.0,0.0,0.0
4401,338830,0.0,0.0,0.0
4402,338890,0.0,0.0,0.0
4403,338960,0.0,0.0,0.0
4404,338980,0.0,0.0,0.0
4405,339000,55.0,55.0,0.0
4406,339040,0.0,0.0,0.0
4407,339090,0.0,0.0,0.0
4408,339110,177.0,177.0,0.0
4409,339120,14.0,14.0,0.1
4410,339130,0.0,0.0,0.0
4411,339160,359.0,429.0,0.0
4412,339190,0.0,0.0,0.0
4413,339200,140.0,140.0,0.0
4414,339210,0.0,0.0,0.0
4415,339230,145.0,145.0,0.0
4416,339240,0.0,0.0,0.0
4417,339250,0.0,0.0,0.0
4418,339280,150.0,78.0,0.0
4419,339290,174.0,182.0,0.0
4420,339320,26.0,26.0,0.0
4421,339340,132.0,132.0,0.0
4422,339350,2.1,2.1,0.0
4423,339400,644.0,799.0,41.05
4424,339440,0.0,0.0,0.0
4425,339470,187.0,206.0,0.6
4426,339500,0.0,0.0,0.0
4427,339510,0.0,0.0,0.0
4428,339560,0.0,0.0,0.0
4429,339570,0.0,0.0,0.0
4430,339580,0.0,0.0,0.0
4431,339590,0.0,0.0,0.0
4432,339600,5448.0,8166.0,0.0
4433,339610,1571.0,755.0,0.0
4434,339690,0.0,0.0,0.0
4435,339700,0.0,0.0,0.0
4436,339710,0.0,0.0,0.0
4437,339720,0.0,0.0,0.0
4438,339790,2.2,2.2,0.0
4439,339800,2741.0,780.0,17.13
4440,339820,289.0,294.0,0.0
4441,339840,0.0,0.0,0.0
4442,339850,0.0,0.0,0.0
4443,339910,0.0,0.0,0.0
4444,340000,0.0,0.0,0.0
4445,340030,272.0,272.0,0.0
4446,340050,50.0,63.0,20.12
4447,340070,282.0,309.0,0.0
4448,340120,0.0,0.0,0.0
4449,340130,0.0,0.0,0.0
4450,340140,0.0,0.0,0.0
4451,340150,1388.0,1388.0,32.36
4452,340170,73.0,73.0,0.0
4453,340190,0.0,0.0,0.0
4454,340200,2.0,2.0,0.0
4455,340210,0.0,0.0,0.0
4456,340220,238.0,238.0,0.25
4457,340250,0.0,0.0,0.0
4458,340270,0.0,0.0,0.0
4459,340280,0.5,0.5,0.0
4460,340290,0.0,0.0,0.0
4461,340300,306.0,349.0,0.0
4462,340310,271.0,349.0,0.0
4463,340320,218.0,229.0,0.0
4464,340330,0.0,0.0,0.0
4465,340340,840.0,840.0,0.0
4466,340350,9.0,10.0,0.18
4467,340360,0.0,0.0,0.0
4468,340370,0.0,0.0,0.0
4469,340380,0.0,0.0,0.0
4470,340400,0.0,0.0,0.0
4471,340410,0.0,0.0,0.0
4472,340440,101.0,101.0,0.0
4473,340450,0.0,0.0,0.0
4474,340460,0.5666666666666668,0.6,0.12
4475,340470,290.0,290.0,0.0
4476,340480,0.0,0.0,0.0
4477,340490,162.0,297.0,0.0
4478,340500,0.0,0.0,0.0
4479,340520,420.0,487.0,0.0
4480,340540,36.0,37.0,0.0
4481,340560,0.0,0.0,0.0
4482,340570,0.0,0.0,0.0
4483,340580,0.0,0.0,0.0
4484,340600,0.0,0.0,0.0
4485,340630,0.0,0.0,0.0
4486,340680,3.0,3.0,0.0
4487,340700,0.0,0.0,0.0
4488,340720,0.0,0.0,0.0
4489,340730,322.0,355.0,0.0
4490,340750,1.1,1.1,0.0
4491,340770,2.0,2.0,0.0
4492,340800,0.0,0.0,0.0
4493,340810,374.0,655.0,0.48
4494,340830,200.0,275.0,0.0
4495,340840,0.0,0.0,0.0
4496,340860,296.0,296.0,0.0
4497,340880,0.0,0.0,0.0
4498,340920,0.0,0.0,0.0
4499,340950,0.0,0.0,0.0
4500,340960,0.0,0.0,0.0
4501,340990,0.0,0.0,0.0
4502,341000,185.0,144.0,6.8
4503,341010,0.0,0.0,0.0
4504,341020,0.0,0.0,0.0
4505,341030,0.3,0.3,0.0
4506,341040,0.0,0.0,0.0
4507,341060,149.0,159.0,0.0
4508,341070,212.0,212.0,0.0
4509,341080,0.0,0.0,0.0
4510,341090,86.0,166.0,0.0
4511,341120,274.0,274.0,0.0
4512,341150,0.0,0.0,0.0
4513,341160,262.0,286.0,0.0
4514,341260,0.0,0.0,0.0
4515,341270,0.0,0.0,0.0
4516,341290,0.0,0.0,0.0
4517,341310,200.0,277.0,0.0
4518,341360,0.0,0.0,0.0
4519,341380,316.0,339.0,0.0
4520,341390,13714.0,13714.0,0.0
4521,341440,2.0,2.0,0.0
4522,341460,0.0,0.0,0.0
4523,341470,223.0,223.0,0.0
4524,341490,0.0,0.0,0.0
4525,341500,213.0,188.0,4.56
4526,341510,0.0,0.0,0.0
4527,341530,67.0,69.0,0.0
4528,341540,0.0,0.0,0.0
4529,341550,0.0,0.0,0.0
4530,341570,0.0,0.0,0.0
4531,341640,0.0,0.0,0.0
4532,341660,0.0,0.0,0.0
4533,341680,0.0,0.0,0.0
4534,341690,0.0,0.0,0.0
4535,341700,0.0,0.0,0.0
4536,341710,37.0,37.0,0.0
4537,341720,6.0,7.0,0.51
4538,341730,3.9,3.9,0.0
4539,341750,0.0,0.0,0.0
4540,341760,0.0,0.0,0.0
4541,341770,0.0,0.0,0.0
4542,341780,257.0,271.0,0.0
